date	DEMAND	PROVISION
2015	7146	7145
2016	7471	7960
2017	7796	7600
2018	8122	7500
2019	8447	9600
2020	8772	10320
2021	9060	10320
2022	9358	11150
2023	9666	11150
2024	9984	11150
2025	10312	10970
2026	10651	10970
2027	11002	10970
2028	11364	12470
2029	11739	12470
2030	12125	12470
2031	12483	12470
2032	12846	12470
2033	13214	13815
2034	13588	15515
2035	13967	15515
2036	14352	15515
2037	14742	15515
2038	15137	15515
2039	15538	15515
2040	15944	15515
2041	16203	15515
2042	16456	15515
2043	16818	15515
2044	17181	15515
